[-13, -52, -66, 37, 24, -11]
[-14, -59, -76, 43, 32, -18]
[-14, -64, -82, 47, 41, -25]
[-8, -65, -80, 50, 51, -33]
[0, -64, -67, 52, 61, -37]
[10, -62, -48, 56, 67, -39]
[23, -65, -30, 59, 69, -40]
[36, -72, -16, 63, 67, -41]
[49, -79, -7, 68, 61, -44]
[64, -85, -5, 72, 52, -49]
[83, -86, -10, 74, 44, -56]
[107, -82, -21, 73, 38, -65]
[133, -67, -32, 66, 40, -73]
[151, -44, -31, 57, 48, -81]
[162, -18, -6, 56, 56, -81]
[169, 5, 27, 56, 60, -74]
[169, 6, 66, 55, 62, -61]
[167, -6, 97, 54, 57, -52]
[169, -11, 110, 50, 49, -48]
[173, -14, 115, 45, 41, -46]
[179, -7, 115, 40, 30, -45]
[184, 2, 106, 33, 19, -41]
[189, 9, 91, 26, 9, -35]
[190, 15, 68, 18, 1, -26]
[183, 10, 48, 13, -6, -14]
[174, 0, 25, 8, -14, -4]
[163, -13, 9, 5, -20, 7]
[145, -31, -2, 2, -27, 18]
[127, -43, -10, 7, -35, 30]
[106, -52, -19, 6, -44, 40]
[85, -63, -27, 7, -51, 48]
[66, -66, -34, 3, -57, 56]
[47, -70, -41, 1, -64, 64]
[30, -71, -48, 0, -67, 72]
[16, -70, -46, -4, -68, 77]
[3, -68, -42, -8, -71, 81]
[-3, -63, -42, -11, -73, 83]
[-7, -58, -41, -16, -73, 83]
[-8, -55, -40, -21, -70, 81]
[-8, -52, -37, -25, -66, 78]
[-6, -47, -34, -29, -62, 73]
[-4, -40, -30, -31, -57, 68]
[-3, -33, -26, -33, -53, 65]
[-3, -28, -21, -34, -48, 62]
[-2, -24, -18, -34, -44, 59]
[-3, -22, -13, -35, -41, 57]
[-6, -18, -5, -36, -38, 53]
[-6, -14, -3, -34, -37, 51]
[-4, -12, -5, -32, -36, 49]
[-3, -10, -5, -30, -33, 47]
[-20, -47, -69, 35, 21, -1]
[-26, -54, -81, 39, 31, -10]
[-28, -62, -87, 43, 42, -19]
[-25, -67, -87, 46, 52, -28]
[-16, -70, -80, 48, 62, -36]
[0, -71, -73, 51, 69, -42]
[16, -72, -64, 53, 74, -47]
[34, -73, -59, 56, 76, -54]
[51, -68, -56, 57, 78, -60]
[66, -62, -55, 60, 80, -67]
[82, -49, -51, 62, 83, -73]
[98, -32, -41, 62, 88, -77]
[114, -10, -19, 61, 94, -78]
[128, 10, 12, 60, 97, -73]
[140, 16, 47, 59, 98, -64]
[146, 5, 90, 58, 97, -53]
[150, -2, 120, 55, 91, -49]
[156, -6, 131, 50, 82, -48]
[163, -2, 134, 43, 72, -48]
[168, 2, 130, 35, 62, -48]
[172, 8, 127, 26, 51, -47]
[173, 18, 117, 18, 38, -43]
[171, 25, 100, 12, 25, -35]
[163, 24, 74, 9, 11, -23]
[151, 10, 48, 6, 0, -9]
[137, -5, 25, 3, -9, 4]
[122, -22, 8, 1, -18, 16]
[104, -35, -10, 0, -28, 25]
[87, -43, -26, 1, -38, 36]
[68, -50, -44, 0, -45, 46]
[50, -55, -49, 3, -50, 57]
[31, -61, -52, 0, -53, 66]
[15, -63, -50, -2, -57, 72]
[3, -61, -51, -8, -61, 75]
[-7, -60, -52, -15, -63, 77]
[-12, -59, -53, -21, -64, 77]
[-13, -56, -55, -25, -63, 76]
[-11, -55, -52, -32, -59, 73]
[-9, -52, -48, -35, -56, 70]
[-5, -48, -44, -37, -52, 66]
[-2, -43, -41, -38, -48, 62]
[-1, -38, -38, -38, -44, 58]
[-1, -34, -32, -37, -40, 55]
[-3, -27, -18, -39, -37, 53]
[-6, -25, -9, -36, -36, 50]
[-5, -20, -10, -34, -35, 47]
[-4, -17, -11, -33, -33, 45]
[-3, -14, -10, -32, -31, 42]
[-1, -11, -8, -31, -29, 40]
[0, -9, -8, -29, -29, 39]
[-29, -56, -72, 34, 21, -8]
[-35, -60, -82, 40, 32, -17]
[-38, -62, -80, 45, 43, -27]
[-37, -61, -71, 49, 53, -37]
[-30, -59, -53, 51, 61, -46]
[-18, -60, -37, 54, 64, -53]
[0, -64, -25, 58, 63, -60]
[24, -67, -22, 60, 59, -68]
[56, -66, -29, 62, 56, -76]
[87, -53, -38, 54, 59, -84]
[109, -31, -27, 51, 66, -91]
[127, -1, -2, 56, 70, -90]
[143, 25, 26, 58, 71, -83]
[157, 27, 49, 57, 69, -73]
[167, 17, 70, 55, 66, -63]
[175, 5, 83, 53, 60, -58]
[184, 3, 89, 48, 53, -56]
[192, 9, 89, 42, 45, -54]
[197, 19, 89, 35, 38, -49]
[199, 26, 79, 27, 27, -43]
[199, 28, 66, 21, 19, -33]
[192, 21, 48, 16, 9, -20]
[182, 6, 36, 15, 1, -6]
[168, -10, 20, 15, -6, 6]
[151, -21, 10, 19, -14, 19]
[130, -35, -1, 18, -20, 31]
[106, -46, -5, 22, -26, 43]
[82, -53, -13, 23, -32, 54]
[56, -59, -20, 17, -34, 65]
[32, -63, -24, 16, -37, 75]
[16, -63, -27, 11, -38, 81]
[2, -60, -25, 5, -39, 85]
[-8, -55, -24, 0, -40, 88]
[-16, -52, -22, -6, -40, 89]
[-19, -53, -24, -16, -39, 87]
[-17, -49, -24, -21, -39, 83]
[-14, -45, -26, -25, -38, 79]
[-11, -41, -26, -29, -35, 75]
[-8, -38, -24, -32, -32, 70]
[-6, -33, -22, -33, -30, 65]
[-4, -28, -19, -33, -27, 62]
[-3, -24, -15, -33, -25, 59]
[-3, -21, -12, -32, -23, 56]
[-2, -17, -10, -32, -21, 53]
[-2, -14, -8, -30, -19, 50]
[-2, -11, -7, -28, -17, 48]
[-3, -9, -2, -27, -16, 46]
[-4, -7, 0, -26, -16, 44]
[-3, -5, 0, -24, -15, 42]
[-3, -5, 0, -23, -14, 40]
[-24, -56, -61, 33, 21, -5]
[-30, -63, -69, 38, 30, -14]
[-33, -66, -72, 41, 39, -25]
[-32, -72, -70, 46, 48, -35]
[-26, -73, -59, 49, 54, -45]
[-13, -70, -46, 54, 57, -53]
[5, -71, -37, 56, 57, -60]
[28, -74, -35, 59, 56, -67]
[51, -70, -39, 60, 55, -76]
[76, -60, -46, 54, 59, -83]
[94, -44, -40, 50, 66, -91]
[109, -23, -21, 49, 73, -94]
[124, 0, 7, 50, 77, -91]
[140, 13, 38, 50, 76, -85]
[156, 13, 60, 49, 73, -77]
[168, 7, 82, 48, 71, -69]
[176, 2, 98, 45, 65, -64]
[183, 0, 107, 41, 59, -61]
[187, 4, 113, 37, 51, -58]
[190, 11, 112, 30, 41, -54]
[190, 18, 104, 25, 30, -48]
[189, 22, 88, 18, 18, -40]
[184, 23, 68, 14, 7, -29]
[174, 19, 48, 11, -3, -15]
[160, 6, 29, 11, -13, -1]
[143, -9, 8, 13, -22, 11]
[121, -23, -2, 14, -27, 24]
[95, -45, -16, 17, -33, 36]
[73, -52, -20, 22, -37, 47]
[48, -60, -26, 16, -38, 58]
[27, -67, -29, 17, -40, 68]
[14, -63, -25, 13, -40, 75]
[1, -61, -25, 6, -41, 78]
[-7, -57, -27, 0, -41, 79]
[-11, -54, -28, -9, -40, 77]
[-12, -50, -29, -16, -40, 75]
[-10, -46, -30, -22, -40, 72]
[-9, -43, -31, -26, -38, 69]
[-7, -41, -31, -29, -37, 67]
[-5, -40, -31, -31, -34, 64]
[-4, -38, -30, -33, -31, 59]
[-3, -33, -26, -36, -27, 54]
[-4, -27, -17, -35, -25, 50]
[-3, -21, -13, -34, -24, 48]
[-3, -19, -12, -34, -23, 46]
[-3, -16, -11, -32, -22, 44]
[-2, -14, -11, -29, -21, 42]
[-1, -11, -10, -28, -20, 41]
[0, -9, -10, -26, -19, 39]
[0, -8, -10, -25, -18, 38]
[-19, -54, -70, 30, 23, -5]
[-23, -59, -81, 35, 32, -13]
[-24, -64, -88, 40, 43, -23]
[-22, -66, -88, 41, 53, -32]
[-15, -64, -77, 43, 63, -40]
[-5, -64, -58, 45, 71, -44]
[9, -66, -39, 50, 73, -46]
[28, -72, -27, 57, 69, -50]
[50, -75, -25, 63, 63, -57]
[78, -72, -38, 64, 59, -65]
[105, -60, -50, 59, 61, -74]
[122, -35, -43, 52, 70, -82]
[133, -6, -16, 55, 77, -81]
[144, 20, 20, 57, 79, -74]
[155, 25, 51, 56, 78, -64]
[162, 13, 80, 55, 75, -53]
[168, 0, 99, 51, 69, -49]
[175, 0, 109, 47, 62, -48]
[181, 5, 114, 40, 53, -46]
[186, 14, 111, 36, 43, -42]
[191, 21, 99, 30, 31, -36]
[191, 22, 82, 22, 21, -28]
[188, 18, 62, 18, 11, -17]
[181, 7, 45, 15, 2, -4]
[170, -5, 28, 14, -5, 8]
[155, -15, 14, 13, -13, 21]
[135, -29, 4, 15, -20, 33]
[114, -43, -7, 14, -27, 44]
[92, -50, -18, 19, -34, 55]
[70, -59, -25, 13, -37, 65]
[51, -61, -28, 14, -41, 74]
[34, -57, -31, 13, -44, 82]
[13, -54, -26, 13, -44, 91]
[-5, -51, -21, 13, -45, 100]
[-20, -51, -19, 8, -43, 105]
[-26, -55, -24, -3, -38, 102]
[-27, -56, -22, -9, -37, 94]
[-20, -45, -24, -11, -36, 88]
[-15, -39, -25, -16, -33, 83]
[-11, -36, -24, -20, -30, 79]
[-9, -34, -23, -21, -27, 75]
[-6, -28, -22, -22, -25, 70]
[-5, -22, -18, -23, -21, 66]
[-6, -16, -10, -26, -19, 62]
[-6, -10, -5, -26, -19, 58]
[-5, -8, -5, -26, -17, 56]
[-4, -8, -6, -24, -17, 54]
[-3, -7, -7, -23, -16, 52]
[-2, -6, -8, -21, -15, 50]
[-1, -4, -7, -19, -15, 48]
[-22, -53, -65, 38, 17, -2]
[-27, -58, -74, 42, 25, -12]
[-29, -63, -80, 47, 34, -22]
[-27, -65, -77, 49, 44, -32]
[-19, -64, -67, 51, 53, -40]
[-9, -65, -50, 50, 61, -46]
[2, -72, -34, 53, 63, -50]
[19, -78, -28, 59, 59, -56]
[38, -81, -32, 60, 56, -65]
[60, -74, -50, 59, 54, -74]
[84, -47, -61, 53, 61, -82]
[101, -18, -45, 53, 71, -84]
[116, 14, -11, 57, 77, -78]
[131, 32, 26, 56, 79, -70]
[143, 26, 57, 56, 78, -58]
[148, 3, 89, 54, 75, -48]
[155, -10, 107, 52, 68, -45]
[163, -13, 116, 46, 61, -46]
[171, -9, 118, 43, 51, -45]
[178, 0, 118, 36, 41, -45]
[181, 9, 111, 30, 29, -42]
[185, 22, 94, 25, 16, -36]
[183, 28, 70, 20, 5, -26]
[175, 22, 49, 19, -4, -11]
[164, 7, 26, 20, -12, 2]
[147, -10, 13, 23, -18, 15]
[127, -27, 0, 24, -23, 27]
[105, -36, -6, 26, -27, 39]
[79, -49, -14, 22, -30, 50]
[58, -55, -15, 26, -34, 61]
[35, -58, -20, 22, -36, 71]
[18, -59, -20, 16, -38, 78]
[4, -60, -26, 6, -39, 80]
[-6, -57, -29, -2, -40, 80]
[-12, -53, -29, -12, -41, 79]
[-14, -49, -31, -19, -43, 78]
[-15, -46, -35, -24, -43, 77]
[-14, -46, -37, -29, -42, 76]
[-11, -47, -38, -32, -39, 73]
[-9, -44, -36, -34, -36, 68]
[-7, -38, -32, -37, -32, 63]
[-5, -31, -26, -38, -28, 59]
[-4, -25, -21, -38, -26, 56]
[-3, -21, -18, -37, -24, 54]
[-4, -20, -14, -37, -22, 51]
[-4, -17, -12, -37, -21, 48]
[-3, -13, -10, -36, -20, 46]
[-2, -11, -9, -34, -19, 45]
[-2, -9, -9, -32, -18, 43]
[-1, -7, -10, -30, -18, 41]
[-16, -46, -70, 34, 20, -1]
[-21, -53, -81, 40, 28, -9]
[-23, -57, -88, 45, 38, -19]
[-21, -60, -89, 47, 48, -29]
[-13, -60, -82, 46, 58, -37]
[-4, -62, -66, 45, 68, -42]
[8, -66, -47, 47, 73, -45]
[23, -72, -32, 53, 71, -48]
[41, -76, -27, 57, 66, -54]
[63, -75, -33, 61, 61, -63]
