[-61, 27, -17, -87, 7, 124]
[-32, 15, -17, -90, 0, 119]
[9, -9, -1, -57, 27, 139]
[-39, -9, 11, -33, 34, 113]
[-37, -1, 19, 12, 9, 97]
[-28, -8, 9, 44, -24, 106]
[-14, -11, -3, 51, -37, 74]
[-7, -14, -9, 37, -22, 15]
[-7, -7, -14, 62, -22, -35]
[-10, 7, -19, 80, -23, -74]
[-16, 17, -25, 81, -17, -95]
[-28, 22, -31, 80, -10, -100]
[-59, 28, -38, 85, 0, -98]
[-64, 22, -38, 102, 15, -98]
[-41, 16, -29, 112, 23, -115]
[-6, 15, -22, 92, 22, -154]
[-15, 34, -22, 64, 20, -176]
[-18, 53, -19, 15, 19, -158]
[0, 44, -23, -12, 17, -80]
[9, 34, -25, -6, 19, -7]
[22, 24, -16, -10, 31, 37]
[27, 6, -10, 39, 23, 79]
[12, 27, 0, 121, 20, 124]
[-24, 39, 4, 112, 22, 175]
[-54, 46, 3, 63, 9, 200]
[-65, 45, -11, -71, 9, 188]
[-60, 14, -18, -149, 21, 160]
[-35, 4, -9, -118, 26, 132]
[-4, -3, -8, -88, 6, 100]
[-3, 3, -13, -65, -5, 56]
[-15, 14, -15, -51, -5, 34]
[-19, 10, -21, -23, 0, 43]
[-20, 4, -16, 7, 25, 40]
[-9, -3, 2, 19, 57, 10]
[-1, -7, 13, 42, 46, -24]
[0, 2, 7, 72, 8, -57]
[0, 15, -5, 86, -11, -74]
[-9, 24, -15, 82, -2, -67]
[-38, 26, -17, 76, 18, -45]
[-108, 37, -36, 51, 3, -29]
[-43, -8, -57, 76, -33, -37]
[13, -21, -74, 178, 3, -81]
[-26, 16, -58, 149, 45, -173]
[-61, 32, -62, 104, 52, -200]
[-58, 28, -63, 109, 37, -148]
[-45, 23, -56, 81, 28, -136]
[-7, 25, -31, 15, 57, -154]
[32, 21, -14, -17, 64, -136]
[57, 26, -6, 11, 53, -87]
[62, 38, 2, 25, 38, -13]
[-106, 30, -34, -25, -35, 250]
[-77, -13, -29, 3, -23, 260]
[-18, -29, -11, 72, 1, 257]
[-21, -2, -1, 70, 10, 191]
[-49, 15, -2, -2, 5, 125]
[-76, 21, -18, -5, -22, 134]
[-57, 0, -26, 17, -15, 164]
[-13, -26, -7, 38, 33, 115]
[-6, -19, 11, 69, 46, 32]
[-11, 1, 14, 76, -12, -37]
[-9, 14, -5, 73, -76, -71]
[-5, 29, -19, 55, -86, -80]
[-24, 27, -26, 13, -54, -65]
[-57, 20, -30, 21, -27, -56]
[-82, 24, -35, 47, -25, -78]
[-66, 26, -30, 56, -12, -125]
[-24, 26, -12, 27, 15, -169]
[-26, 24, -3, -3, 33, -196]
[-48, 37, -2, 14, 8, -215]
[-31, 56, -4, 45, -22, -186]
[-6, 56, -10, 32, -29, -118]
[17, 49, -2, 12, -6, -42]
[30, 36, 0, -23, 2, 11]
[28, 30, 3, -30, 2, 47]
[8, 49, 6, -49, -3, 82]
[-7, 60, -24, -124, -34, 123]
[-34, 50, -85, -229, 17, 178]
[-77, 0, -97, -231, -9, 169]
[-87, 26, -108, -131, -55, 184]
[-52, 11, -87, -166, -13, 194]
[-26, -3, -60, -210, 22, 165]
[-27, 0, -42, -223, 36, 116]
[-30, 9, -45, -235, 13, 66]
[-23, 17, -53, -240, 0, 27]
[-8, 21, -47, -233, 30, 8]
[0, 17, -30, -204, 61, 23]
[0, 18, -20, -170, 55, 32]
[4, 25, -20, -156, 38, 40]
[0, 26, -31, -165, 31, 61]
[-10, 20, -42, -189, 57, 88]
[-22, -6, -31, -197, 112, 90]
[-58, -7, -7, -123, 123, 68]
[-27, -13, 10, -71, 87, 52]
[-9, -22, 13, -76, 56, 38]
[-6, -33, 12, -64, 43, 15]
[-18, -30, 8, -11, 25, -15]
[-47, 1, -5, 29, -9, -61]
[-48, 15, -17, 18, -13, -80]
[-61, 10, -1, -4, 43, 48]
[-70, 0, 1, 26, 33, 20]
[-71, 28, -33, 28, -78, -149]
[-60, 30, -31, 14, -40, -167]
[-39, 29, -19, -7, 1, -179]
[-15, 23, -10, 1, 11, -179]
[10, 29, -7, 39, -1, -164]
[41, 43, -5, 52, -8, -124]
[53, 50, -2, 10, -2, -64]
[40, 42, -3, -17, 8, 28]
[6, 32, 0, -19, 21, 122]
[-47, 36, -3, -46, 27, 195]
[-63, 24, -12, -80, 14, 231]
[-42, 9, -11, -79, 26, 254]
[-58, 11, -14, -100, 30, 225]
[-67, 11, -20, -110, 8, 168]
[-58, 16, -30, -92, -4, 136]
[-23, 11, -29, -105, 24, 98]
[-1, 6, -14, -115, 60, 62]
[0, 6, -4, -95, 60, 46]
[0, 8, -1, -62, 38, 41]
[3, 5, -2, -23, 21, 48]
[1, 3, 0, 15, 22, 51]
[-21, 6, 0, 30, 29, 35]
[-37, 7, -1, 28, 26, -2]
[-41, 22, -6, 18, 26, -52]
[-52, 25, 0, -26, 48, -89]
[-29, 4, 3, -4, 44, -87]
[-8, 4, 4, 49, 13, -106]
[-30, 30, -17, 59, -20, -124]
[-41, 31, -33, -49, -12, -155]
[-42, 25, -45, -60, -3, -155]
[-30, 25, -47, -14, 20, -123]
[-7, 23, -33, 13, 49, -98]
[3, 20, -26, 1, 58, -92]
[15, 18, -20, 33, 54, -73]
[30, 28, -10, 80, 44, -37]
[34, 34, -3, 85, 31, 16]
[19, 35, 2, 56, 28, 82]
[-7, 24, 0, 2, 17, 139]
[-40, 20, -7, -18, -7, 168]
[-67, 26, -14, -5, -24, 201]
[-90, 17, -15, 13, -21, 238]
[-26, -6, -4, 50, -2, 243]
[6, -10, -1, -8, 25, 176]
[-38, -3, -4, -74, 20, 62]
[13, 31, -61, 104, -28, -33]
[-17, 45, -69, 103, 4, -34]
[-16, 44, -70, 111, 28, -13]
[-6, 37, -57, 134, 46, 1]
[-8, 33, -45, 137, 62, 4]
[-16, 30, -34, 133, 77, 3]
[23, 65, 18, 18, 48, -2]
[5, 67, 17, -16, 25, 57]
[-6, 37, 1, -11, -4, 136]
[-22, 30, -1, 10, -1, 168]
[-26, 29, -3, -10, 3, 161]
[-43, 28, -6, -40, 8, 155]
[-64, 26, -9, -42, 5, 159]
[-78, 19, -13, -23, 0, 165]
[-34, -1, -10, -3, 5, 147]
[24, -25, -5, -4, 20, 87]
[5, -19, 6, 10, 25, -1]
[-34, 6, 2, 53, -27, -67]
[-40, 19, -25, 103, -99, -80]
[-32, 26, -44, 121, -111, -85]
[-24, 29, -42, 89, -56, -106]
[-28, 22, -34, 62, -15, -126]
[-35, 28, -28, 67, -5, -154]
[-32, 36, -25, 72, -12, -167]
[-32, 41, -25, 82, -20, -151]
[-43, 45, -22, 75, -21, -129]
[-72, 62, -24, 40, -18, -115]
[-16, 49, -14, -14, 4, -96]
[60, 17, 17, 19, 71, -44]
[42, 38, 41, 64, 109, 26]
[-6, 36, 35, -10, 33, 31]
[-17, 40, 0, -38, -71, 17]
[-17, 52, -32, -63, -103, 48]
[4, 41, -39, -71, -7, 123]
[-5, 26, -19, -51, 88, 191]
[-37, 11, 0, -4, 134, 226]
[-50, 15, 15, 13, 99, 159]
[-43, 1, 5, -43, 9, 140]
[-61, -8, 5, 7, 66, 170]
[-88, -21, 2, -12, 39, 100]
[-36, -23, -6, 16, -17, -19]
[11, -2, -13, 39, -41, -121]
[-22, 28, -20, 23, -46, -171]
[-45, 41, -30, 5, -53, -168]
[-45, 30, -45, 25, -43, -117]
[-42, 17, -46, 75, -11, -99]
[-39, 28, -35, 91, 12, -133]
[-29, 28, -29, 55, 22, -162]
[-22, 28, -23, 54, 29, -173]
[-13, 40, -14, 48, 35, -173]
[-10, 50, -4, 13, 40, -152]
[4, 51, 1, 4, 29, -86]
[-4, 59, 3, 7, 16, 6]
[0, 52, 4, -8, 13, 104]
[17, 32, 4, -24, 31, 188]
[-18, 23, 2, -45, 39, 216]
[-71, 24, -9, -59, -9, 190]
[-43, 20, -21, -87, -13, 142]
[-9, 16, -18, -101, 24, 102]
[-1, 10, -11, -108, 40, 84]
[-7, 19, -6, -103, 35, 61]
[-12, 22, -13, -100, 12, 64]
[-16, 12, -24, -50, -4, 96]
[-20, 13, -20, 2, 27, 122]
[-65, 10, -11, -20, 72, 104]
[-73, -6, -3, -26, 72, 50]
[-3, -32, 1, 28, 42, -27]
[2, -5, 3, 66, 15, -123]
[-57, 29, 0, 44, -7, -195]
[-77, 53, -14, 13, -37, -233]
[-67, 60, -29, -11, -46, -238]
[-67, 59, -14, 4, 12, -200]
[-42, 55, 2, 1, 41, -147]
[-20, 34, 5, -26, 7, -124]
[-1, 40, 10, -9, -22, -123]
[19, 55, 14, -30, -44, -98]
[14, 55, 5, -68, -78, -39]
[19, 53, -4, -91, -100, 38]
[-27, 52, -36, -134, -115, 121]
[-61, 46, -75, -143, -139, 202]
[-76, 38, -96, -172, -111, 256]
[-70, 18, -89, -211, -69, 260]
[-60, 1, -65, -184, -18, 260]
[-60, 0, -48, -132, 8, 243]
[-41, 2, -47, -132, 17, 158]
[-19, 11, -45, -174, 51, 69]
[1, 15, -31, -210, 95, 21]
[-61, 29, -28, 31, -57, -131]
[-65, 39, -41, 55, -60, -131]
[-40, 31, -43, 65, -24, -115]
[-17, 27, -31, 49, 22, -136]
[-9, 31, -17, 18, 51, -159]
[-6, 33, -9, 2, 52, -158]
[2, 39, -8, 15, 31, -126]
[1, 47, -11, 20, 15, -74]
[-13, 51, -7, 10, 18, -16]
[-35, 52, -5, -5, 13, 44]
[-30, 41, -7, -16, 1, 96]
[0, 26, -6, -24, 5, 132]
[7, 15, -2, -33, 21, 149]
[-17, 19, -2, -77, 18, 115]
[-39, 21, -10, -106, 1, 73]
[-32, 20, -17, -81, -7, 65]
[-4, 19, -10, -59, 8, 65]
[11, 10, -7, -53, 11, 68]
[11, 10, -11, -44, 1, 52]
[-63, 28, -29, 24, 18, -180]
[-69, 36, -41, 48, 0, -182]
[-39, 37, -39, 89, 21, -153]
[-8, 36, -24, 62, 51, -136]
[4, 24, -15, 16, 62, -125]
[12, 26, -8, 27, 51, -109]
