-5,-8,-11,-17,-27,-38,-47,-53,-57,-56,-54,-50,-42,-32,-20,-8,4,16,28,38,44,53,60,67,71,75,79,81,83,84,79,76,73,69,66,62,59,56,54,51,48,46,44,41,39,37,35,33,32,30
-2,-6,-10,-15,-24,-35,-46,-49,-51,-48,-40,-29,-16,-2,9,18,29,38,47,56,64,72,77,80,74,79,72,66,63,61,60,60,60,61,58,55,52,49,46,43,40,38,36,35,33,32,31,30,28,27
-16,-22,-29,-37,-46,-57,-66,-75,-84,-91,-91,-84,-70,-55,-40,-26,-12,0,12,24,34,41,47,55,62,67,70,71,68,63,62,61,57,55,52,48,45,42,40,37,35,34,32,30,29,27,25,23,22,21
-2,-4,-7,-10,-15,-25,-37,-47,-54,-59,-60,-58,-55,-49,-45,-37,-22,-9,3,16,24,27,33,40,47,54,57,59,59,61,62,61,60,61,62,62,62,59,56,53,50,47,45,42,40,38,36,34,32,30
-11,-17,-22,-30,-41,-51,-61,-68,-72,-69,-62,-51,-39,-25,-11,1,13,25,34,42,50,57,63,67,71,74,75,73,70,68,67,65,63,61,58,55,52,49,46,44,42,40,38,36,33,31,29,28,26,25
-12,-20,-28,-38,-49,-59,-68,-76,-79,-78,-72,-61,-49,-34,-21,-8,3,16,27,35,44,52,59,64,68,73,75,75,75,74,77,73,70,66,62,58,55,53,50,47,45,42,40,38,36,34,32,31,29,27
-14,-20,-26,-35,-46,-56,-66,-75,-77,-75,-71,-63,-54,-41,-27,-14,-2,10,22,29,35,43,49,53,56,60,63,65,65,63,63,62,61,60,59,57,55,54,53,50,47,45,42,40,38,36,34,32,30,29
0,-3,-9,-16,-26,-36,-45,-54,-61,-63,-61,-55,-48,-40,-30,-19,-8,3,14,26,35,42,49,55,61,65,68,71,73,73,74,74,75,75,76,71,67,63,59,56,54,52,49,46,44,41,39,37,35,33
-11,-18,-25,-36,-46,-57,-66,-75,-80,-81,-79,-72,-63,-50,-35,-21,-7,5,17,29,40,48,57,65,69,73,77,81,82,82,81,81,81,78,74,70,65,61,58,55,52,49,47,45,42,40,38,36,34,32
-6,-11,-18,-26,-37,-48,-58,-67,-71,-69,-65,-60,-52,-44,-33,-21,-8,4,17,28,35,38,45,52,59,62,66,69,71,73,72,70,69,69,65,63,59,55,52,50,47,45,42,40,38,36,34,32,31,29
-19,-25,-33,-44,-55,-65,-74,-84,-82,-70,-57,-42,-28,-14,-2,7,3,2,3,8,16,26,28,30,30,30,30,30,28,26,24,23,21,20,18,17,16,15,14,12,11,11,10,9,8,7,7,6,5,5
-27,-39,-49,-60,-70,-79,-88,-88,-75,-60,-45,-30,-17,-4,2,-4,-2,-1,5,9,13,19,18,18,20,22,20,18,19,17,16,14,14,13,12,11,10,9,8,7,7,6,5,5,4,4,3,2,2,1
-25,-31,-41,-52,-62,-72,-81,-84,-70,-59,-43,-29,-15,-3,-1,2,6,12,18,25,27,29,36,35,36,37,32,30,28,26,25,23,22,20,18,17,16,14,13,12,11,10,9,8,8,7,6,5,5,4
-15,-26,-38,-49,-59,-69,-75,-73,-64,-53,-38,-24,-10,-1,-1,1,1,1,7,14,17,18,21,23,24,19,17,17,15,14,14,13,12,10,9,8,8,7,6,5,5,4,3,3,2,2,1,1,0,0
-22,-34,-45,-55,-65,-75,-84,-86,-76,-61,-46,-31,-17,-4,-2,-6,-6,-5,-6,-3,2,8,18,25,32,36,35,34,35,31,29,28,26,25,23,22,20,18,17,15,14,13,12,11,10,9,8,7,7,6
-25,-37,-48,-58,-68,-78,-73,-61,-46,-32,-18,-5,1,5,5,9,16,24,34,44,49,52,52,50,49,46,42,39,37,34,32,30,28,27,25,23,21,20,18,17,16,15,14,13,12,11,10,9,8,7
-37,-48,-58,-68,-78,-86,-69,-58,-43,-29,-15,-2,9,9,8,11,16,21,29,35,39,40,36,34,36,37,31,28,29,27,25,24,22,21,20,18,16,15,14,13,12,11,10,9,8,7,7,6,5,5
