[29, -63, -93, -95, -54, -47, -41, -34, -14, -3, -5, -44, -82, -129, -196, -231, -241, -199, -55, 84, 155, 151, 110, 154, 181, 150, 99, 63, 24, 5, -5, 3, 12, 8, 4, -3, -30, -42, -42, -50, -56, -67, -64, -53, -44, -37, -29, -20, -17, -17, -16, -15, -13, -10, -10, -11, -12, -14, -13, -14, -15, -15, -15, -15, -16, -15, -15, -16, -15, -13, -13, -12, -12, -12, -11, -10, -11, -11, -11, -12, -11, -10, -10, -10, -10, -10, -10, -10, -10, -10, -11, -11, -10, -10, -10, 0, 0, 0, 0, 0]
[-45, -126, -179, -188, -169, -132, -85, -53, -46, -51, -54, -71, -107, -144, -204, -233, -250, -200, -139, 12, 119, 173, 152, 117, 98, 90, 73, 43, 24, 21, 4, 28, 66, 56, 38, 11, -13, -19, -35, -51, -50, -46, -43, -40, -35, -28, -21, -17, -14, -11, -9, -10, -13, -14, -15, -16, -17, -19, -18, -16, -16, -16, -15, -15, -15, -15, -15, -15, -15, -15, -16, -16, -16, -16, -16, -16, -15, -15, -15, -14, -14, -15, -14, -15, -15, -15, -15, -14, -14, -14, -14, -14, -14, -15, -15, -14, 0, 0, 0, 0]
[-77, -90, -142, -180, -161, -106, -40, 5, 17, 13, -6, -55, -94, -168, -205, -222, -244, -246, -233, -208, -151, 9, 113, 170, 195, 191, 187, 163, 121, 72, 16, 15, 8, 3, 38, 51, 35, 10, -10, -25, -29, -23, -21, -30, -31, -36, -36, -31, -24, -18, -12, -8, -6, -8, -10, -11, -9, -8, -7, -7, -7, -7, -7, -7, -6, -7, -7, -7, -8, -9, -10, -9, -8, -7, -8, -8, -8, -7, -7, -8, -8, -8, -8, -8, -7, -8, -8, -8, -7, -7, -8, -8, -7, -7, -7, -7, -7, -7, -6, -6]
[-13, -37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[0, -70, -99, -163, -178, -161, -88, 10, 68, 80, 62, 0, -106, -185, -225, -246, -248, -256, -204, -143, 16, 121, 161, 177, 202, 191, 160, 131, 81, 33, 8, -1, 0, 6, 23, 1, -32, -15, -31, -38, -36, -39, -37, -34, -30, -24, -23, -23, -24, -21, -17, -15, -17, -18, -18, -17, -15, -12, -11, -11, -8, -8, -7, -8, -8, -8, -8, -8, -7, -8, -8, -7, -7, -7, -7, -7, -8, -8, -8, -7, -6, -7, -8, -9, -8, -8, -7, -7, -7, -6, -6, -6, -6, -7, -7, 0, 0, 0, 0, 0]
[-53, -118, -191, -211, -239, -245, -247, -125, -111, 27, 126, 177, 193, 183, 156, 127, 99, 48, 16, 7, 0, 6, 23, 27, 24, 11, -3, -7, -17, -30, -28, -25, -23, -25, -26, -25, -21, -17, -15, -13, -11, -11, -13, -15, -15, -13, -11, -9, -9, -10, -9, -7, -7, -8, -9, -8, -8, -8, -8, -9, -12, -12, -11, -10, -10, -11, -12, -11, -11, -12, -12, -12, -11, -11, -11, -11, -11, -11, -10, -9, -9, -9, -9, -9, -8, -8, -8, -9, -10, -10, -10, -10, -10, 0, 0, 0, 0, 0, 0, 0]
[-5, -33, -133, -196, -188, -138, -71, 0, 43, 51, 38, 7, -74, -159, -185, -225, -228, -195, -189, -105, -8, 108, 168, 193, 180, 144, 116, 88, 46, 33, 16, 4, 9, 4, -16, -35, -29, -37, -57, -44, -39, -39, -41, -37, -28, -24, -23, -23, -22, -19, -15, -12, -15, -10, -7, -7, -7, -7, -7, -8, -9, -9, -8, -8, -7, -7, -9, -8, -8, -8, -9, -9, -8, -8, -8, -8, -8, -8, -8, -8, -8, -8, -8, -8, -8, -9, -8, -8, -8, -9, -9, -8, -9, -9, -9, 0, 0, 0, 0, 0]
[-9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[-19, -98, -159, -145, -105, -155, -204, -231, -170, -69, -33, -15, -25, -38, -31, -21, -34, -50, -75, -79, -74, -73, -66, -60, -52, -42, -32, -24, -18, -15, -15, -13, -12, -13, -14, -14, -15, -16, -15, -14, -14, -13, -13, -14, -14, -13, -13, -13, -12, -12, -12, -13, -13, -12, -13, -13, -13, -12, -12, -12, -12, -12, -14, -13, -13, -12, -12, -12, -12, -10, -11, -11, -11, -11, -11, -11, -11, -11, -11, -11, -10, -10, -10, -10, -10, -10, -10, -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
[-145, -69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]
