-26,-35,-47,-68,-74,-72,-68,-68,-72,-74,-66,-41,-34,-56,-72,-91,-126,-171,-202,-209,-183,-98,54,155,138,195,222,190,211,183,123,79,56,50,46,40,38,38,31,25,17,8,-8,-19,-16,-22,-23,-27,-38,-34,-43,-44,-35,-31,-36,-43,-46,-44,-36,-35,-37,-34,-30,-28,-29,-29,-30,-30,-30,-30,-31,-31,-31,-31,-30,-29,-29,-29,-29,-29,-29,-29,-28,-28,-29,-29,-29,-29,-29,-29,-29,-29,-29,-28,-29,-29,-28,-29,-29,-28
-49,-64,-82,-94,-100,-103,-107,-107,-105,-100,-88,-65,-42,-47,-85,-153,-193,-209,-167,-75,-35,57,157,189,170,194,188,178,196,191,160,133,115,101,82,66,56,43,29,17,14,24,38,42,42,49,45,31,25,17,15,13,6,4,-2,-16,-20,-18,-29,-30,-38,-36,-28,-21,-22,-22,-16,-16,-20,-21,-19,-21,-24,-22,-19,-19,-21,-22,-22,-21,-21,-21,-20,-20,-20,-21,-20,-20,-21,-21,-21,-20,-20,-21,-22,-21,-21,-21,-22,-22
-26,-41,-53,-64,-66,-70,-68,-65,-65,-74,-80,-78,-56,-42,-56,-82,-120,-149,-151,-120,-71,-28,6,61,140,185,193,208,188,174,168,146,104,63,37,32,31,36,35,20,10,19,20,12,13,17,7,0,0,-3,-9,-19,-21,-22,-26,-28,-25,-24,-27,-28,-25,-22,-22,-21,-21,-23,-25,-26,-27,-27,-27,-27,-26,-26,-26,-27,-26,-26,-27,-27,-26,-26,-26,-26,-27,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26,-26
-42,-49,-65,-76,-85,-83,-78,-75,-76,-78,-72,-52,-53,-59,-73,-116,-141,-138,-97,-31,-6,39,141,177,195,218,194,172,163,138,105,78,68,61,57,56,50,48,33,25,22,14,26,32,12,-1,-7,-15,-15,-8,-18,-28,-29,-30,-35,-38,-39,-39,-34,-27,-24,-24,-25,-24,-21,-20,-20,-19,-21,-23,-24,-25,-27,-27,-26,-26,-26,-25,-24,-25,-25,-25,-25,-25,-25,-25,-25,-24,-25,-25,-24,-25,-25,-25,-25,-25,-25,-25,-25,-24
-32,-44,-53,-61,-68,-73,-70,-67,-74,-79,-79,-66,-44,-33,-35,-48,-79,-107,-99,-79,-45,-18,-9,26,116,185,196,210,200,165,143,125,113,102,86,76,66,66,75,61,45,39,35,40,34,27,25,14,10,9,2,-2,-10,-14,-8,-11,-20,-17,-11,-13,-20,-23,-18,-17,-22,-24,-21,-22,-24,-23,-19,-21,-24,-24,-23,-24,-26,-25,-24,-23,-22,-22,-22,-23,-24,-22,-22,-23,-22,-20,-21,-23,-22,-23,-23,-23,-23,-24,-24,-24
-31,-31,-40,-48,-47,-41,-33,-30,-36,-52,-66,-62,-50,-45,-50,-72,-100,-113,-111,-96,-47,-25,-4,59,153,202,226,221,208,189,156,122,109,96,73,60,52,41,42,44,27,19,20,19,13,4,9,7,-5,-16,-9,-15,-22,-20,-18,-22,-24,-24,-26,-28,-27,-24,-22,-23,-22,-20,-23,-24,-25,-25,-27,-28,-28,-26,-26,-26,-26,-26,-26,-26,-26,-26,-25,-25,-26,-25,-25,-26,-26,-26,-26,-26,-27,-27,-26,-26,-27,-27,-26,-26
-34,-34,-41,-49,-61,-65,-64,-62,-62,-61,-67,-61,-40,-24,-29,-43,-65,-90,-109,-122,-90,-75,-38,-16,93,173,184,203,202,193,167,123,100,95,80,68,56,42,39,43,39,37,45,40,30,22,6,0,-2,-18,-19,-19,-30,-39,-32,-35,-42,-42,-35,-37,-34,-28,-24,-26,-27,-28,-26,-25,-24,-19,-14,-17,-22,-22,-22,-24,-24,-24,-23,-24,-24,-22,-22,-22,-22,-22,-23,-23,-23,-24,-23,-22,-23,-23,-22,-23,-24,-23,-23,-24
-36,-45,-64,-71,-65,-54,-47,-42,-48,-51,-49,-37,-34,-50,-65,-83,-98,-127,-155,-150,-86,-51,-2,120,175,193,211,203,194,178,145,135,114,83,69,71,62,44,32,36,28,21,22,10,-8,-15,-14,-5,1,-6,-16,-15,-16,-24,-30,-30,-27,-28,-31,-31,-28,-25,-25,-29,-31,-29,-19,-10,-15,-17,-19,-22,-25,-24,-22,-22,-22,-21,-22,-22,-23,-23,-22,-21,-22,-22,-23,-23,-23,-23,-23,-22,-22,-23,-23,-23,-23,-23,-22,-22
-24,-29,-52,-69,-68,-60,-60,-63,-79,-86,-76,-54,-31,-24,-40,-65,-85,-96,-106,-96,-74,-9,63,160,188,190,191,170,147,121,96,95,80,66,58,51,48,48,46,42,38,33,28,20,13,7,1,-2,-3,-10,-23,-26,-25,-32,-40,-33,-21,-34,-32,-25,-27,-27,-28,-28,-27,-26,-25,-26,-26,-27,-27,-28,-28,-27,-26,-25,-25,-25,-25,-25,-25,-24,-24,-25,-25,-24,-24,-24,-24,-23,-23,-24,-24,-24,-23,-24,-24,-24,-24,-24
-36,-45,-63,-70,-72,-65,-55,-53,-52,-52,-48,-44,-39,-31,-39,-57,-73,-81,-87,-92,-83,-55,-40,-27,53,151,163,187,177,157,148,133,102,83,68,48,39,40,42,46,45,39,29,4,-24,-36,-31,-28,-32,-38,-38,-38,-51,-62,-66,-61,-56,-56,-54,-47,-35,-33,-32,-33,-31,-33,-31,-30,-30,-29,-30,-31,-31,-31,-31,-31,-32,-32,-31,-31,-31,-31,-31,-30,-31,-30,-31,-30,-30,-31,-31,-30,-31,-31,-31,-31,-31,-31,-31,-31
